Referencia,NomArticulo
3213140,CAMISA FOR AZ MED PU BOT PLATDIS REFIT
3213443,CAMISA FOR AZ MED PU BOT PLAT REFIT
3213539,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3213541,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3213640,CAMISA FOR BLAN PU BOT LABDIS SLI FIT
3213839,CAMISA FOR BLAN PU BOT LAB PROMSLI FIT
3233602,CAMISA INF MUL ALGO PLAT ESTAM FLOR
3234338,CAMISA FORM BLANCO PUNO BOTON CN RAYITAS
3234541,CAMISA FOR AZ CLA PU BOT LABDIS SLI FIT
3235838,TRAJE AZUL CLAR 2 BOT LAB PROMSLIM FIT
3269342,SACO INFORMAL AZUL CLAR LANA CN CUAD
3269540,SACO INFORMAL VINO TINTO LANA CN CUAD
3269638,SACO INFORMAL VINO TINTO LANA CN CUAD
3269738,SACO INFORMAL AZUL MED LANA CN CUAD
3270640,CAMISA FOR BLAN PU BOT LAB ÉSTAM PTOS
3270941,CAMISA FOR AZU PU BOT LAB EST MICDIS
3283440,SMOKING NEGRO 2 BOT CN
3284104,CAMISA LINO  AZ MED  CN ESTAM FLOR
3287138,CAMISA FORM BLANCO PUN BOT CN PROMOCION
3287141,CAMISA FORM BLANCO PUN BOT CN PROMOCION
3287241,CAMISA FOR AZ CLA PU BOT CN PRO
3287242,CAMISA FOR AZ CLA PU BOT CN PRO
3301239,CAMISA FOR BLAN PU BOT PLAT MICRDISEN
3301242,CAMISA FOR BLAN PU BOT PLAT MICRDISEN
3302644,SACO INFORMAL AZUL MED LANA CN CUAD
3302738,SACO INFORMAL CAFE LANA CN JASPEADO
3302840,SACO INFORM VIN TIN LANA CN JASPEADO
3303038,SACO INFORMAL GRIS MED LANA CN JASPEADO
3303040,SACO INFORMAL GRIS MED LANA CN JASPEADO
33209,TRAJE 2BOT CN GRIS  OSC CUADROS
33213,TRAJE 2BOT CN AZUL OSC MICRO
33216,TRAJE 2 BT AZUL OSC LAB
33222,SACO INF VINOTINTO JASPE LONG
33225,SACO INF AZUL MED REGUL JASPE
33236,BLAZER AZUL OSC  CRUZADO OUTLET
33240,PANTALON FOR NEGRO ESENCIAL
50001,"TRAJE PAÑORAMA  SUPER 120""S"
63011,ADICIONAL
63014,CAMBIO DE CUELLO
6315136,PANTALON INFORMAL CEREZA  CN
6420036,JEANS AZUL O  LAB
6424036,CINTURON INF NEG GAM CN MADE IN PORT
6424132,CINTURON INF AZ GAM CN MADE IN PORT
6528009,MEDIA FORMAL NEGRO EJECUTIVO CN CORTA
6529309,PULSERA UNICOLOR  CN CARLOS NIETO ITALY
6529409,PULSERA UNICOLOR  CN CARLOS NIETO ITALY
6530830,PANTALON INF AZUL CLARO ALG LAB SLIM FIT
6531536,BERMUDA AZUL O ALGODON CN REGULAR FIT
6570509,MALETIN CAFE  CN
6570643,ZAPATO FORMAL COGNAC CUERO CN CORDON
6570943,BOTIN INFORMAL NEGRO CUERO CN CORDON
6575441,TRAJE CAFE 2 BOT CN PROMOCION X DEFECTO
6617936,PANTALON FORMAL GRIS CLAR  CN REGU FIT
6618134,PANTALON FORMAL AZUL O  CN REGULAR FIT
6618236,PANTALON FORMAL AZUL CLAR  CN REGU FIT
6618240,PANTALON FORMAL AZUL CLAR  CN REGU FIT
6618334,PANTALON FORMAL AZUL MEDIO  LAB SLIM FIT
6618534,PANTALON FORMAL NEGRO  CN REGULAR FIT
6618638,PANTALON FORMAL AZUL O  CN REGULAR FIT
6618932,PANTALON FORM GRIS CLA  LAB CUA SLIM FIT
6619034,PANTALON FORM GRIS CLA  CN CUA REGU FIT
6619040,PANTALON FORM GRIS CLA  CN CUA REGU FIT
6639234,CINTURON FOR REV CUE CN NEG/CAFE
6640203,UNDER BOXER LARGO BLANCO  CN PUNTOS
6641541,ZAPATO INFORMAL MIEL CUERO PLAT CORDON
6642339,TRAJE AZUL MEDIO 2 BOT LAB SLIM FIT
6664738,MOCACIN INFORMAL CAFE CUERO CN ANTIFAZ
6664840,MOCACIN FORM VIN TIN CUERO CN ANTIFAZ
6665044,SACO INFORMAL CAFE LANA PLAT REGU FIT
6665138,SACO INF VIN TIN LANA PLAT CUA REFIT
6665142,SACO INF VIN TIN LANA PLAT CUA REFIT
6665240,SACO INFORM AZU LANA PLAT CUAD REGU FIT
6665244,SACO INFORM AZU LANA PLAT CUAD REGU FIT
0011903,CAMISA BLANCA SMOKING
0011909,CAM CEREMONIA LAB BLANCO BOTON REMOVIBLE
0012113,PAÑUELO UNICOLOR SEDA
0012260,PANT FOR SLIM PLATINO AZUL MEDIO CUADROS
0012294,JEAN AZUL OSCURO OUTLET
0012305,PANTALON INF CAMEL CN
0012336,CAM INFORMAL CN INT TC PRINT RECTANGULOS
0012339,CAMISA INF VERDE MED CUAD CN
0012340,CAMISA INF BLANCON MICRO CN
0013652,TRAJE 2BT AZUL MED ESENCIAL
0013663,ZAPATO FOR PLATINO COGÑAC CORDON SLIM
0013674,TRA FOR LAB GRIS OSC MICRO
0013681,TRA FOR LAB AZUL OSC MICRO
0013683,TRAJE GRIS MEDIO CUADROS
0013692,ZAPATO FORMAL NEGRO CORDON
0014341,PULSERA CAFE OSC CUERO CN
0014895,CINT FORMAL NEGRO/CAFE REVERSIBLE
0014898,CINT FORMAL NEGRO/CAFE REVERSIBLE
0014926,8239 99 CINT FOR MARFIL/BLAN REVER
0015440,CAMISETA BLANCA RANGLAN
0015470,BILLETERA AZUL TEXTURA - AZUL CLARO
0015474,TARJETERO AZUL TEXTURADO
0015481,MEDIAS LARGAS FORMAL LISA GRIS OSCURO
0015514,SAC LAB SLIM AZUL CUADROS
0015522,CINTURON FORMAL COGÑAC TEXT - NEGRO
0016247,MANCORNA 5364 NIQUEL ENGRANAJES
0016263,MANCORNA 5550 NEGRO REDONDO
0016799,PANTUFLAS GRIS OSCURO CN
0016800,PANTUFLAS AZUL OSC CN
0016816,MOCASIN NEGRO HEBILLA INF
0017247,TAPABOCAS AZUL MEDIO
0017248,TAPABOCAS MORADO ESTAMPADO
0017258,PANTALON AZUL JASPEADO
0017772,GAFAS DE SOL MULTICOLOR SEMI REDONDA
0017777,GAFAS DE SOL REDONDA AMARILLO
0017786,SACO VINO TINTO LONG
0017792,CINTURON INF MIEL GAMUZA CN
0017824,SUÉTER CUELLO NEHRU CREMA AZUL MEDIO
0017837,CAMISA BLANCA DOBLE USO
0017838,CAMISA BLANCA DOBLE USO
0018259,TRAJE  BLANCO LINO CN REGULAR FIT
0018260,TRAJE  BLANCO LINO LONG
0018271,PANTALON BLANCO LINO CN REG
0018289,PANTALONETA DE BAÑO AZUL CARACOL AQUA
0018292,CINT FORMAL REVER NEGRO/ MIEL SARTORIA
0018756,CARDIGAN CAFE MEDIO CUELLO NERU CN
0018790,CINTURON FORMAL NEGRO CUERO
0018799,CINTURON GRIS MEDIO CUERO TRENZADO
0018804,CAMISA INF AZUL MED RAYAS MICRODISEÑO CN
0019203,MEDIAS INF GRIS MEDIO LARGAS FIGURAS
0019229,MORRAL AZUL OSC CN
0019806,BUFANDA VINOTINTO FLORES PLATINO
0019831,PANTALON AZUL OSC REGULAR TRAVEL
0020459,SUETER VINOTINTO TIPO POLO PLATINO
0020473,CAMISA MC ALGODÓN AZUL MED FLORES CN
0020483,MANCORNA RECTO DISEÑO NIQUEL
0020498,MANCORNA REDONDA NEGRO/AZUL
0020953,CAMISA DOBLE USO CUADROS AZUL OSC LAB
0021639,CAMISA LINO AZUL OSC CN
0021642,CAMISA LINO AZUL MEDIO CN
0021647,TRAJE 2BT AZUL MEDIO JASPÉ LAB
0021689,CAMISA LINO BLANCA CN
0022622,MOCASIN GAMUZA CAFÉ OSCURO BORLAS
0022678,MOCASIN FORMAL ANTIFAZ NEGRO
011027,ZAP FOR DOBLE HEBILLA COGNAC
011034,ZAP FOR DOBLE HEBILLA NEGRO
1031,PANTALON DORMEUIL
